DATE,TREAST
2003-01-01,633174.615384615385
2003-04-01,648577.307692307692
2003-07-01,653701.923076923077
2003-10-01,661458.500000000000
2004-01-01,670213.000000000000
2004-04-01,679938.769230769231
2004-07-01,694115.846153846154
2004-10-01,710356.384615384615
2005-01-01,717719.153846153846
2005-04-01,721902.000000000000
2005-07-01,728361.153846153846
2005-10-01,741790.538461538462
2006-01-01,751109.461538461538
2006-04-01,761770.846153846154
2006-07-01,766293.230769230769
2006-10-01,771863.076923076923
2007-01-01,779639.153846153846
2007-04-01,787936.076923076923
2007-07-01,786658.307692307692
2007-10-01,776570.384615384615
2008-01-01,706296.153846153846
2008-04-01,520015.615384615385
2008-07-01,479157.615384615385
2008-10-01,476366.928571428571
2009-01-01,474972.000000000000
2009-04-01,573745.076923076923
2009-07-01,723568.714285714286
2009-10-01,775354.692307692308
2010-01-01,776607.615384615385
2010-04-01,776835.153846153846
2010-07-01,785670.000000000000
2010-10-01,895235.153846153846
2011-01-01,1185960.615384615385
2011-04-01,1488713.692307692308
2011-07-01,1646411.153846153846
2011-10-01,1671434.076923076923
2012-01-01,1660243.230769230769
2012-04-01,1665291.461538461538
2012-07-01,1649845.153846153846
2012-10-01,1653312.307692307692
2013-01-01,1729275.461538461538
2013-04-01,1866164.538461538462
2013-07-01,2002151.692307692308
2013-10-01,2140135.923076923077
2014-01-01,2259937.153846153846
2014-04-01,2360108.384615384615
2014-07-01,2426744.846153846154
2014-10-01,2459730.642857142857
2015-01-01,2460423.500000000000
2015-04-01,2460307.076923076923
2015-07-01,2461633.714285714286
2015-10-01,2461699.384615384615
2016-01-01,2461278.615384615385
2016-04-01,2461702.230769230769
2016-07-01,2463150.153846153846
2016-10-01,2463604.000000000000
2017-01-01,2463625.230769230769
2017-04-01,2464740.538461538462
2017-07-01,2465261.538461538462
2017-10-01,2459216.076923076923
2018-01-01,2434914.538461538462
2018-04-01,2393594.153846153846
2018-07-01,2333898.538461538462
2018-10-01,2265914.538461538462
2019-01-01,2198685.923076923077
2019-04-01,2126586.615384615385
2019-07-01,2093452.461538461538
2019-10-01,2209436.461538461538
2020-01-01,2482342.846153846154
2020-04-01,3967127.538461538462
2020-07-01,4332239.642857142857
2020-10-01,4581015.153846153846
2021-01-01,4823378.230769230769
2021-04-01,5073146.615384615385
2021-07-01,5319760.615384615385
2021-10-01,5561747.692307692308
2022-01-01,5728913.769230769231
2022-04-01,5765509.615384615385
2022-07-01,5708856.000000000000
2022-10-01,5557779.000000000000
2023-01-01,5382237.692307692308
2023-04-01,5208038.615384615385
2023-07-01,5029265.461538461538
2023-10-01,4858788.307692307692
2024-01-01,4680826.769230769231
2024-04-01,.
